name|category|displayName|description|url
05.7.1.|05. Information security documentation|Emergency Procedures|Classified information and systems are secured before personnel evacuate a facility in the event of an emergency.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12834
05.7.4.C.01.|05. Information security documentation|Emergency Procedures - Evacuating facilities|When evacuating a facility, it is important that personnel secure classified information and systems as they would at the end of operational hours.  This includes, but is not limited to, securing media, logging off of workstations and securing safes and cabinets.  This is important as an attacker could use such an opportunity to gain access to documents, applications or databases that a system user had already authenticated to or use another system user s credentials for a malicious purpose.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12841
05.8.1.|05. Information security documentation|Independent Assurance Reports|To provide assurance to System Owners, Certifiers, Practitioners and Accreditors and to assist system designers, enterprise and security architects where assurance reviews cannot be directly undertaken on service providers.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12847
05.8.61.C.01.|05. Information security documentation|Independent Assurance Reports - Risk Assessment|The Security Risk Management Plan (SRMP  Section 5.3) encompasses all risks associated with the security of agency systems. The growth in outsourced services, particularly cloud services, has created situations where risk, controls and assurance cannot be directly examined and assessed. In such cases independent assurance reports are an effective means, possibly the only means, of obtaining some assurance on the service provider s operations.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12936
05.8.61.C.02.|05. Information security documentation|Independent Assurance Reports - Risk Assessment|The Security Risk Management Plan (SRMP  Section 5.3) encompasses all risks associated with the security of agency systems. The growth in outsourced services, particularly cloud services, has created situations where risk, controls and assurance cannot be directly examined and assessed. In such cases independent assurance reports are an effective means, possibly the only means, of obtaining some assurance on the service provider s operations.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12936
05.8.61.C.03.|05. Information security documentation|Independent Assurance Reports - Risk Assessment|The Security Risk Management Plan (SRMP  Section 5.3) encompasses all risks associated with the security of agency systems. The growth in outsourced services, particularly cloud services, has created situations where risk, controls and assurance cannot be directly examined and assessed. In such cases independent assurance reports are an effective means, possibly the only means, of obtaining some assurance on the service provider s operations.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12936
05.8.62.C.01.|05. Information security documentation|Independent Assurance Reports - Independent Assurance|Independent assurance can be obtained directly from the service provider through Service Organisation Control (SOC) reports, as well as other internationally recognised assurance frameworks. It will be important to corroborate individual reports by comparison with other reporting mechanisms and independent certifications.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12936
05.9.1.|05. Information security documentation|Vulnerability Disclosure Policy (VDP)|Agencies implement a Vulnerability Disclosure Policy (VDP) to enable members of the public to report vulnerabilities in the agency s public-facing systems and applications and receive feedback on such reports.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12947
05.9.23.C.01.|05. Information security documentation|Vulnerability Disclosure Policy (VDP) - Vulnerability disclosure policy (VDP) Risk Assessment|Selection of public-facing systems and services included in any VDP will be based on a risk assessment undertaken by the agency. Considerations for such selection are discussed in the Context section above.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12982
05.9.24.C.01.|05. Information security documentation|Vulnerability Disclosure Policy (VDP) - Vulnerability disclosure policy (VDP) Essential Content|In order to demonstrate a mature and constructive approach to vulnerability discovery, management and remediation, an agency requires a VDP to inform the public about: the scope of public-facing systems covered by its VDP; and the nature of vulnerabilities which can be reported under its VDP.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12982
05.9.24.C.02.|05. Information security documentation|Vulnerability Disclosure Policy (VDP) - Vulnerability disclosure policy (VDP) Essential Content|In order to demonstrate a mature and constructive approach to vulnerability discovery, management and remediation, an agency requires a VDP to inform the public about: the scope of public-facing systems covered by its VDP; and the nature of vulnerabilities which can be reported under its VDP.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12982
05.9.25.C.01.|05. Information security documentation|Vulnerability Disclosure Policy (VDP) - Vulnerability disclosure policy (VDP) Additional Content|As well as mandatory content listed above, additional information that agencies may consider providing includes guidance for reporters/finders to locate the agency s policy and how to confidentially communicate technical details to the agency s security experts.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12982
05.9.26.C.01.|05. Information security documentation|Vulnerability Disclosure Policy (VDP) - Vulnerability disclosure policy (VDP) Setting Expectations|Agencies must set clear expectations for reporters/finders on the timeframe within which agencies intend to address and remediate vulnerabilities that have been reported to them.  The industry standard for a vulnerability disclosure policy is 90 days.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12982
05.9.26.C.02.|05. Information security documentation|Vulnerability Disclosure Policy (VDP) - Vulnerability disclosure policy (VDP) Setting Expectations|Agencies must set clear expectations for reporters/finders on the timeframe within which agencies intend to address and remediate vulnerabilities that have been reported to them.  The industry standard for a vulnerability disclosure policy is 90 days.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12982
05.9.27.C.01.|05. Information security documentation|Vulnerability Disclosure Policy (VDP) - Vulnerability disclosure policy (VDP) Integration|It is essential that a VDP is integrated and consistent with an agency s information security documentation and its policies, processes and procedures for Incident Management, Product Security and Software Security (Chapters 5, 7, 12, 14).|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12982
06.1.1.|06. Information security monitoring|Information Security Reviews|Information security reviews maintain the security of agency systems and detect gaps and deficiencies.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13002
06.1.7.C.01.|06. Information security monitoring|Information Security Reviews - Conducting information security reviews|Annual reviews of an agency s information security posture can assist with ensuring that agencies are responding to the latest threats, environmental changes and that systems are properly configured in accordance with any changes to information security documentation and guidance.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-13015
06.1.8.C.01.|06. Information security monitoring|Information Security Reviews - Managing Conflicts of Interest|Reviews may be undertaken by personnel independent of the target of evaluation or by an independent third party to ensure that there is no (perceived or actual) conflict of interest and that an information security review is undertaken in an objective manner.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-13015
06.1.9.C.01.|06. Information security monitoring|Information Security Reviews - Focus of information security reviews|Incidents, significant changes or an aggregation of minor changes may require a security review to determine and support any necessary changes and to demonstrate good systems governance. An agency may choose to undertake an information security review: as a result of a specific information security incident; because a change to a system or its environment that significantly impacts on the agreed and implemented system architecture and information security policy; or as part of a regular scheduled review.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-13015
06.2.1.|06. Information security monitoring|Vulnerability Analysis|Exploitable information system weaknesses can be identified by vulnerability analyses and inform assessments and controls selection.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13027
06.2.4.C.01.|06. Information security monitoring|Vulnerability Analysis - Vulnerability analysis strategy|Vulnerabilities may be unintentionally introduced and new vulnerabilities are constantly identified, presenting ongoing risks to information systems security.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13035
06.2.5.C.01.|06. Information security monitoring|Vulnerability Analysis - Conducting vulnerability assessments|A baseline or known point of origin is the basis of any comparison and allows measurement of changes and improvements when further information security monitoring activities are conducted.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13035
06.2.6.C.01.|06. Information security monitoring|Vulnerability Analysis - Resolving vulnerabilities|Vulnerabilities may occur as a result of poorly designed or implemented information security practices, accidental activities or malicious activities, and not just as the result of a technical issue.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13035
06.3.1.|06. Information security monitoring|Change Management|To ensure information security is an integral part of the change management process, it should be incorporated into the agency s IT maintenance governance and management activities.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13048
06.3.6.C.01.|06. Information security monitoring|Change Management - Change management|A considered and accountable process requires consultation with all stakeholders before any changes are implemented. In the case of changes that will affect the security or accreditation status of a system, the Accreditation Authority is a key stakeholder and will need to be consulted and grant approval for the proposed changes.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13060
06.3.6.C.02.|06. Information security monitoring|Change Management - Change management|A considered and accountable process requires consultation with all stakeholders before any changes are implemented. In the case of changes that will affect the security or accreditation status of a system, the Accreditation Authority is a key stakeholder and will need to be consulted and grant approval for the proposed changes.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13060
06.3.7.C.01.|06. Information security monitoring|Change Management - Change management process|Uncontrolled changes pose risks to information systems as well as the potential to cause operational disruptions.  A change management process is fundamental to ensure a considered and accountable approach with appropriate approvals.  Furthermore, the change management process provides an opportunity for the security impact of the change to be considered and if necessary, reaccreditation processes initiated.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13060
06.3.7.C.02.|06. Information security monitoring|Change Management - Change management process|Uncontrolled changes pose risks to information systems as well as the potential to cause operational disruptions.  A change management process is fundamental to ensure a considered and accountable approach with appropriate approvals.  Furthermore, the change management process provides an opportunity for the security impact of the change to be considered and if necessary, reaccreditation processes initiated.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13060
06.3.7.C.03.|06. Information security monitoring|Change Management - Change management process|Uncontrolled changes pose risks to information systems as well as the potential to cause operational disruptions.  A change management process is fundamental to ensure a considered and accountable approach with appropriate approvals.  Furthermore, the change management process provides an opportunity for the security impact of the change to be considered and if necessary, reaccreditation processes initiated.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13060
06.3.8.C.01.|06. Information security monitoring|Change Management - Changes impacting the security of a system|The accreditation of a system accepts residual security risk relating to the operation of that system. Changes may impact the overall security risk for the system. It is essential that the Accreditation Authority is consulted and accepts the changes and any changes to risk.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13060
06.4.1.|06. Information security monitoring|Business Continuity and Disaster Recovery|To ensure business continuity and disaster recovery processes are established to assist in meeting the agency s business requirements, minimise any disruption to the availability of information and systems, and assist recoverability.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13074
06.4.5.C.01.|06. Information security monitoring|Business Continuity and Disaster Recovery - Availability requirements|Availability and recovery requirements will vary based on each agency s business needs and are likely to be widely variable across government. Agencies will determine their own availability and recovery requirements and implement measures consistent with the agency's SRMP to achieve them as part of their risk management and governance processes.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13084
06.4.6.C.01.|06. Information security monitoring|Business Continuity and Disaster Recovery - Backup strategy|Having a backup strategy in place is a fundamental part of business continuity planning. The backup strategy ensures that critical business information is recoverable if lost. Vital records are defined as any information, systems data, configurations or equipment requirements necessary to restore normal operations.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13084
06.4.7.C.01.|06. Information security monitoring|Business Continuity and Disaster Recovery - Business Continuity plan|It is important to develop a business continuity plan to assist in ensuring that critical systems and data functions can be maintained when the system is operating under constraint, for example, when bandwidth is unexpectedly limited below established thresholds.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13084
06.4.8.C.01.|06. Information security monitoring|Business Continuity and Disaster Recovery - Disaster recovery plan|Developing and documenting a disaster recovery plan, will reduce the time between a disaster occurring, and critical functions of systems being restored.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13084
07.1.1.|07. Information Security Incidents|Detecting Information Security Incidents|To ensure that appropriate tools, processes and procedures are implemented to detect information security incidents, in order to minimise the impact of such incidents and as part of the suite of good IT governance activities.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13098
07.1.7.C.01.|07. Information Security Incidents|Detecting Information Security Incidents - Preventing and detecting information security incidents|Processes and procedures for the detection of information security incidents will assist in mitigating attacks using the most common vectors in systems exploits.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13110
07.1.7.C.02.|07. Information Security Incidents|Detecting Information Security Incidents - Preventing and detecting information security incidents|Processes and procedures for the detection of information security incidents will assist in mitigating attacks using the most common vectors in systems exploits.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13110
07.1.7.C.03.|07. Information Security Incidents|Detecting Information Security Incidents - Preventing and detecting information security incidents|Processes and procedures for the detection of information security incidents will assist in mitigating attacks using the most common vectors in systems exploits.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13110
07.2.1.|07. Information Security Incidents|Reporting Information Security Incidents|To ensure reporting information security incidents is incorporated as an essential part of incident management, whether the reporting is within an agency or reports are provided to another government agency. |https://www.nzism.gcsb.govt.nz/ism-document#Section-13120
07.2.17.C.01.|07. Information Security Incidents|Reporting Information Security Incidents - Reporting information security incidents|Reporting information security incidents provides management with a means to assess and minimise damage to a system and to take remedial actions.  Incidents should be reported to an ITSM, as soon as possible. The ITSM may seek advice from NCSC as required. |https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.2.17.C.02.|07. Information Security Incidents|Reporting Information Security Incidents - Reporting information security incidents|Reporting information security incidents provides management with a means to assess and minimise damage to a system and to take remedial actions.  Incidents should be reported to an ITSM, as soon as possible. The ITSM may seek advice from NCSC as required. |https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.2.18.C.01.|07. Information Security Incidents|Reporting Information Security Incidents - Responsibilities when reporting an information security incident|The ITSM actively manages information security incidents and MUST ensure the CISO has sufficient awareness of and information on any information security incidents within an agency.The CISO is required to keep the CSO and/or Agency Head informed of information security incidents within their agency. |https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.2.19.C.01.|07. Information Security Incidents|Reporting Information Security Incidents - Reporting significant information security incidents to National Cyber Security Centre (NCSC)|The NCSC uses significant information security incident reports as the basis for identifying and responding to information security events across government. Reports are also used to develop new policy, procedures, techniques and training measures to prevent the recurrence of similar information security incidents across government.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.2.20.C.01.|07. Information Security Incidents|Reporting Information Security Incidents - Reporting non-critical information security incidents to National Cyber Security Centre (NCSC)|The NCSC uses information compiled from security incident reports as the basis for identifying and responding to information security events across government.&nbsp; Reports are also used to develop new policy, procedures, techniques and training measures to prevent the recurrence of similar information security incidents across government. This includes incidents categorised as Low.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.2.21.C.01.|07. Information Security Incidents|Reporting Information Security Incidents - How to report information security incidents to National Cyber Security Centre (NCSC)|Reporting of information security incidents to the NCSC through the appropriate channels ensures that appropriate and timely assistance can be provided to the agency. In addition, it allows the NCSC to maintain an accurate threat environment picture for government systems.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.2.22.C.01.|07. Information Security Incidents|Reporting Information Security Incidents - Outsourcing and information security incidents|In the case of outsourcing of information technology services and functions, the agency remains responsible for the reporting of all information security incidents.  This includes any outsourced cloud services used by the agency.  As such, the agency MUST ensure that the service provider informs them of all information security incidents to enable them to assess the incident and provide formal reporting.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.2.23.C.01.|07. Information Security Incidents|Reporting Information Security Incidents - Cryptographic keying material|Reporting any information security incident involving the loss or misuse of cryptographic keying material is particularly important. Systems users in this situation are those that rely on the use of cryptographic keying material for the confidentiality and integrity of their secure communications.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.2.24.C.01.|07. Information Security Incidents|Reporting Information Security Incidents - Replacement of Cryptographic Key (HACE) keying material|If an encryption key is compromised, there is no need to attack the algorithm itself and it is a trivial matter to decrypt any encrypted data.  This is why strong key management is vital in order to protect the encryption keying materials.  If a compromise of keying materials is known or even suspected, the cryptographic key must be replaced as a matter of urgency and measures taken to reduce the impact of the key compromise.  See also Section 17.9  Key Management.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.2.25.C.01.|07. Information Security Incidents|Reporting Information Security Incidents - High Assurance Cryptographic Equipment (HACE) keying material|For information security incidents involving the suspected loss or compromise of HACE keying material, GCSB will investigate the possibility of compromise, and where possible, initiate action to reduce the impact of the compromise.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13145
07.3.1.|07. Information Security Incidents|Managing Information Security Incidents|To identify and implement processes for incident identification, management and analysis of information security incidents, including selection of appropriate remedies which will assist in preventing or reducing the impact of future information security incidents.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13177
07.3.5.C.01.|07. Information Security Incidents|Managing Information Security Incidents - Information security incident management documentation|Ensuring responsibilities and procedures for information security incidents are documented in relevant Information Security Documentation will ensure that when an information security incident does occur, agency personnel can respond in an appropriate manner. In addition, ensuring that system users are aware of reporting procedures will assist in identifying any information security incidents that an ITSM, or system owner fail to notice.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.6.C.01.|07. Information Security Incidents|Managing Information Security Incidents - Recording information security incidents|The purpose of recording information security incidents is to highlight the nature and frequency of information security incidents so that corrective action can be taken. This information can subsequently be used as an input to security risk assessments of systems.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.6.C.02.|07. Information Security Incidents|Managing Information Security Incidents - Recording information security incidents|The purpose of recording information security incidents is to highlight the nature and frequency of information security incidents so that corrective action can be taken. This information can subsequently be used as an input to security risk assessments of systems.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.7.C.01.|07. Information Security Incidents|Managing Information Security Incidents - Handling data spills|A data spill is defined as the unauthorised or unintentional release, transmission or transfer of data. If there is a possibility that classified information may be compromised as a result of an information security incident, agencies MUST be able to respond in a timely fashion to limit damage and contain the incident.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.7.C.02.|07. Information Security Incidents|Managing Information Security Incidents - Handling data spills|A data spill is defined as the unauthorised or unintentional release, transmission or transfer of data. If there is a possibility that classified information may be compromised as a result of an information security incident, agencies MUST be able to respond in a timely fashion to limit damage and contain the incident.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.7.C.03.|07. Information Security Incidents|Managing Information Security Incidents - Handling data spills|A data spill is defined as the unauthorised or unintentional release, transmission or transfer of data. If there is a possibility that classified information may be compromised as a result of an information security incident, agencies MUST be able to respond in a timely fashion to limit damage and contain the incident.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.7.C.04.|07. Information Security Incidents|Managing Information Security Incidents - Handling data spills|A data spill is defined as the unauthorised or unintentional release, transmission or transfer of data. If there is a possibility that classified information may be compromised as a result of an information security incident, agencies MUST be able to respond in a timely fashion to limit damage and contain the incident.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.7.C.05.|07. Information Security Incidents|Managing Information Security Incidents - Handling data spills|A data spill is defined as the unauthorised or unintentional release, transmission or transfer of data. If there is a possibility that classified information may be compromised as a result of an information security incident, agencies MUST be able to respond in a timely fashion to limit damage and contain the incident.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.7.C.06.|07. Information Security Incidents|Managing Information Security Incidents - Handling data spills|A data spill is defined as the unauthorised or unintentional release, transmission or transfer of data. If there is a possibility that classified information may be compromised as a result of an information security incident, agencies MUST be able to respond in a timely fashion to limit damage and contain the incident.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.8.C.01.|07. Information Security Incidents|Managing Information Security Incidents - Containing data spills|The spillage of classified information onto a system not accredited to handle the information is considered a serious information security incident.&nbsp; It may be a critical information security incident if PII or particularly sensitive information is spilled.&nbsp; Refer to Section 7.2  Reporting Information Security Incidents.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.8.C.02.|07. Information Security Incidents|Managing Information Security Incidents - Containing data spills|The spillage of classified information onto a system not accredited to handle the information is considered a serious information security incident.&nbsp; It may be a critical information security incident if PII or particularly sensitive information is spilled.&nbsp; Refer to Section 7.2  Reporting Information Security Incidents.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.8.C.03.|07. Information Security Incidents|Managing Information Security Incidents - Containing data spills|The spillage of classified information onto a system not accredited to handle the information is considered a serious information security incident.&nbsp; It may be a critical information security incident if PII or particularly sensitive information is spilled.&nbsp; Refer to Section 7.2  Reporting Information Security Incidents.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.9.C.01.|07. Information Security Incidents|Managing Information Security Incidents - Handling malicious code infection|The guidance for handling malicious code infections is provided to assist in preventing the spread of the infection and to prevent reinfection.  Important details include: the infection date/time of the machine; any observed effects and source details; the possibility that system records and logs could be compromised; and the period of infection.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.10.C.01.|07. Information Security Incidents|Managing Information Security Incidents - Allowing continued attacks|Agencies allowing an attacker to continue an attack against a system in order to seek further information or evidence will need to establish with their legal advisor(s) whether the actions are breaching the Telecommunications (Interception Capability and Security) Act 2013.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.11.C.01.|07. Information Security Incidents|Managing Information Security Incidents - Integrity of evidence|While gathering evidence it is important to maintain the integrity of the information and the chain of evidence. Even though in most cases an investigation does not directly lead to a police prosecution, it is important that the integrity of evidence such as manual logs, automatic audit trails and intrusion detection tool outputs be protected. This may also include a record of activities taken by the agency to contain the incident.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
07.3.12.C.01.|07. Information Security Incidents|Managing Information Security Incidents - Seeking assistance|If the integrity of evidence relating to an information security incident is contaminated or compromised, it reduces NCSC s ability to assist agencies.  As such, NCSC requests that no actions which could affect the integrity of the evidence are carried out prior to NCSC s involvement. |https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13186
08.1.1.|08. Physical Security|Facilities|Physical security measures are applied to facilities in order to protect systems and their infrastructure.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13225
08.1.10.C.01.|08. Physical Security|Facilities - Facility physical security|The application of defence-in-depth to the protection of systems and infrastructure is enhanced through the use of successive layers of physical security.Typically the layers of security are: site; building; room; racks; approved containers; operational hours; and manning levels.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13244
08.1.11.C.01.|08. Physical Security|Facilities - Preventing observation by unauthorised people|Agency facilities without sufficient perimeter security are often exposed to the potential for observation through windows or open doors. This is sometimes described as the risk of oversight. Ensuring classified information on desks and computer screens is not visible will assist in reducing this security risk.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13244
08.1.11.C.02.|08. Physical Security|Facilities - Preventing observation by unauthorised people|Agency facilities without sufficient perimeter security are often exposed to the potential for observation through windows or open doors. This is sometimes described as the risk of oversight. Ensuring classified information on desks and computer screens is not visible will assist in reducing this security risk.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13244
08.1.12.C.01.|08. Physical Security|Facilities - Bringing non-agency owned devices into secure areas|No non-agency owned devices are to be brought into TOP SECRET areas without their prior approval of the Accreditation Authority.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13244
08.1.13.C.01.|08. Physical Security|Facilities - Technical Inspection and surveillance counter-measure testing|Technical surveillance counter-measure testing is conducted as part of the physical security certification to ensure that facilities do not have any unauthorised listening devices or other surveillance devices installed and that physical security measures are compatible with technical controls. This testing and inspection will normally occur AFTER the physical site accreditation has been completed (in accordance with the PSR). Further testing may also be necessary after uncleared access to the secure facility, such as contractors or visitors.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13244
08.1.13.C.02.|08. Physical Security|Facilities - Technical Inspection and surveillance counter-measure testing|Technical surveillance counter-measure testing is conducted as part of the physical security certification to ensure that facilities do not have any unauthorised listening devices or other surveillance devices installed and that physical security measures are compatible with technical controls. This testing and inspection will normally occur AFTER the physical site accreditation has been completed (in accordance with the PSR). Further testing may also be necessary after uncleared access to the secure facility, such as contractors or visitors.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13244
08.2.1.|08. Physical Security|Servers And Network Devices|Secured server and communications rooms provide appropriate physical security for servers and network devices.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13260
08.2.5.C.01.|08. Physical Security|Servers And Network Devices - Securing servers and network devices|Security containers for IT infrastructure, network devices or servers situated in an unsecure area must be compliant with the requirements of the PSR. Installing IT infrastructure, network devices or servers in a secure facility can lower the storage requirements, provided multiple layers of physical security have been implemented, certified and accredited.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13269
08.2.6.C.01.|08. Physical Security|Servers And Network Devices - Securing server rooms, communications rooms and security containers|If personnel decide to leave server rooms, communications rooms or security containers with keys in locks, unlocked or with security functions disabled it negates the purpose of providing security in the first place. Such activities will compromise the security efforts of the agencies and should not be permitted by the agency.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13269
08.2.6.C.02.|08. Physical Security|Servers And Network Devices - Securing server rooms, communications rooms and security containers|If personnel decide to leave server rooms, communications rooms or security containers with keys in locks, unlocked or with security functions disabled it negates the purpose of providing security in the first place. Such activities will compromise the security efforts of the agencies and should not be permitted by the agency.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13269
08.2.7.C.01.|08. Physical Security|Servers And Network Devices - Administrative measures - Site security plans|Site security plans (SitePlan), the physical security equivalent of the SSP and SOPs for systems, are used to document all aspects of physical security for systems. Formally documenting this information ensures that standards, controls and procedures can easily be reviewed by security personnel.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13269
08.2.8.C.01.|08. Physical Security|Servers And Network Devices - No-lone-zones|Areas containing particularly sensitive materials or IT equipment can be provided with additional security through the use of a designated no-lone-zone. The aim of this designation is to enforce two-person integrity, where all actions are witnessed by at least one other person.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13269
08.3.1.|08. Physical Security|Network Infrastructure|Network infrastructure is protected by secure facilities and the use of encryption technologies.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13284
08.3.3.C.01.|08. Physical Security|Network Infrastructure - Network infrastructure in secure areas|Network infrastructure is considered to process information being communicated across it and as such needs to meet the minimum physical security requirements for processing classified information as specified in the PSR Management protocol for physical security, with supporting document &nbsp;Storage requirements for electronic information in ICT facilities.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13290
08.3.3.C.02.|08. Physical Security|Network Infrastructure - Network infrastructure in secure areas|Network infrastructure is considered to process information being communicated across it and as such needs to meet the minimum physical security requirements for processing classified information as specified in the PSR Management protocol for physical security, with supporting document &nbsp;Storage requirements for electronic information in ICT facilities.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13290
08.3.4.C.01.|08. Physical Security|Network Infrastructure - Protecting network infrastructure|In order to prevent tampering with patch panels, fibre distribution panels and structured wiring, any such enclosures need to be placed within at least lockable commercial cabinets. Furthermore, keys for such cabinets should not be remain in locks as this defeats the purpose of using lockable commercial cabinets in the first place.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13290
08.3.4.C.02.|08. Physical Security|Network Infrastructure - Protecting network infrastructure|In order to prevent tampering with patch panels, fibre distribution panels and structured wiring, any such enclosures need to be placed within at least lockable commercial cabinets. Furthermore, keys for such cabinets should not be remain in locks as this defeats the purpose of using lockable commercial cabinets in the first place.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13290
08.3.5.C.01.|08. Physical Security|Network Infrastructure - Network infrastructure in unsecure areas|As agencies lose control over classified information when it is communicated over unsecure public network infrastructure or over infrastructure in unsecure areas they MUST ensure that it is encrypted to a sufficient level that if it was captured that it would be sufficiently difficult to determine the original information from the encrypted information.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13290
08.4.1.|08. Physical Security|IT Equipment|IT equipment is secured outside of normal working hours, is non-operational or when work areas are unoccupied.|https://www.nzism.gcsb.govt.nz/ism-document#Section-13306
08.4.8.C.01.|08. Physical Security|IT Equipment - Accounting for IT equipment|Ensuring that IT equipment containing media is accounted for by using asset registers, equipment registers, operational &amp; configuration records and regular audits will assist in preventing loss or theft, or in the cases of loss or theft, alerting appropriate authorities to its loss or theft.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13319
08.4.9.C.01.|08. Physical Security|IT Equipment - Processing requirements|As the media within IT equipment takes on the classification of the information it is processing, the area that it is used within needs to be certified to a level that is appropriate for the classification of that information.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13319
08.4.10.C.01.|08. Physical Security|IT Equipment - Storage requirements|The PSR states that either Class C, B or A secure rooms or Class C, B or A security containers or lockable commercial cabinets can be used to meet physical security requirements for the storage of IT equipment containing media. The class of secure room or security container will depend on the physical security certification of the surrounding area and the classification of the information.|https://www.nzism.gcsb.govt.nz/ism-document#SubSection-13319
